VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
"$1 vs $500,000 Experiences!",2024-11-02T16:00:00Z,5096639,56204,265990612,1060,382,0.019,0.0002
1 Subscriber = 1 Penny,2024-10-19T18:00:00Z,17066882,26764,383823650,17,396,0.044,0.0001
Human vs Jet Engine,2024-10-17T19:00:00Z,13359898,18126,528930412,19,398,0.025,0.0
7 Days Exploring An Underground City,2024-10-12T16:00:00Z,3686543,33320,167750732,1235,403,0.022,0.0002
Will A Basketball Boat Hold My Weight?,2024-10-11T16:00:01Z,9992006,7006,373788686,30,404,0.027,0.0
"Find The Real MrBeast, Win $10,000",2024-10-05T16:00:00Z,10241390,8361,335452986,37,410,0.031,0.0
"Spot The Difference, Win $10,000",2024-09-28T20:00:00Z,8286147,6581,264872731,58,417,0.031,0.0
"100 Identical Twins Fight For $250,000",2024-09-28T16:00:00Z,3339146,28363,183278411,2140,417,0.018,0.0002
Running With Bigger And Bigger Lunchlys,2024-09-20T16:00:00Z,8181603,10463,325971698,18,425,0.025,0.0
Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,7960389,9872,314449490,17,429,0.025,0.0
"Men Vs Women Survive In The Wilderness For $500,000",2024-09-07T16:00:00Z,4286926,51790,210558790,1908,438,0.02,0.0002
Will A Guitar Boat Hold My Weight?,2024-09-05T16:00:01Z,18135898,15468,758892843,20,440,0.024,0.0
"Real Or Cake For $10,000",2024-08-29T16:00:00Z,7762749,18214,235538053,37,447,0.033,0.0001
7 Days Stranded In A Cave,2024-08-17T16:00:00Z,4556346,92839,165353062,1079,459,0.028,0.0006
Running With Bigger And Bigger Feastables,2024-08-15T23:00:00Z,12111212,30090,426818705,17,461,0.028,0.0001
"Survive 100 Days In Nuclear Bunker, Win $500,000",2024-08-03T16:00:00Z,6143003,86855,333961644,1941,473,0.018,0.0003
"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,16955569,28638,599120964,40,488,0.028,0.0
This Game Is Wild,2024-07-17T16:00:00Z,6196102,10830,231248028,21,490,0.027,0.0
"50 YouTubers Fight For $1,000,000",2024-07-13T16:00:01Z,9581433,347426,423433145,2487,494,0.023,0.0008
Pass The Phone To…,2024-07-11T17:00:01Z,11278565,51402,269651996,60,496,0.042,0.0002
How Many Balloons Does It Take To Fly?,2024-07-10T17:00:00Z,20322994,51088,531529370,18,497,0.038,0.0001
I Built 100 Houses And Gave Them Away!,2024-06-29T16:00:00Z,7851655,290154,233295183,576,508,0.034,0.0012
World’s Deadliest Obstacle Course!,2024-06-15T16:00:01Z,6699909,141062,382821198,1705,522,0.018,0.0004
"$10,000 Every Day You Survive In The Wilderness",2024-06-01T16:00:00Z,8654878,334559,330421659,1570,536,0.026,0.001
Sprinting with More and More Money,2024-05-30T16:00:01Z,11903563,85532,314258177,29,538,0.038,0.0003
Giving 1000 Phones Away,2024-05-28T16:00:00Z,23242677,813226,383241369,18,540,0.061,0.0021
World’s Smartest Dog,2024-05-16T16:00:00Z,10308055,33241,253485195,12,552,0.041,0.0001
Bottle Head Smashing World Record Attempt!,2024-05-14T16:00:00Z,12498536,49676,498389926,38,554,0.025,0.0001
"Protect The Yacht, Keep It!",2024-05-11T16:00:00Z,4208600,80047,165120354,908,557,0.025,0.0005
Ages 1-100 Try My Chocolate,2024-05-09T16:00:00Z,9887166,35031,273952519,39,559,0.036,0.0001
"Spot The Hidden People For $10,000",2024-05-08T16:00:01Z,6413159,12162,198943261,35,560,0.032,0.0001
"Would You Split Or Steal $250,000?",2024-05-03T16:00:00Z,11470153,28929,211654200,60,565,0.054,0.0001
"Buy Feastables, Win Unlimited Money",2024-04-30T16:00:00Z,12541605,28570,401106472,51,568,0.031,0.0001
In 10 Minutes This Room Will Explode!,2024-04-27T16:00:00Z,4155024,77379,162261791,600,571,0.026,0.0005
The World's Fastest Cleaners,2024-04-25T16:00:03Z,26212201,42865,693453376,35,573,0.038,0.0001
"Ages 1 - 100 Decide Who Wins $250,000",2024-04-20T15:59:59Z,6201937,212817,301312177,2402,578,0.021,0.0007
"Guess The Gift, Keep It",2024-04-09T17:00:00Z,19076046,24081,539533652,46,589,0.035,0.0
"I’m Giving My 250M Subscriber $25,000",2024-04-06T19:45:00Z,10663125,57896,336643616,21,592,0.032,0.0002
"Anything You Touch, You Keep!",2024-04-02T16:00:03Z,10296217,15553,261173711,48,596,0.039,0.0001
7 Days Stranded On An Island,2024-03-30T16:00:01Z,7395074,147156,438351993,1346,599,0.017,0.0003
"Keep Track Of Car, Win $10,000",2024-03-19T16:00:00Z,7860110,91043,174014365,51,610,0.045,0.0005
"Stop This Train, Win a Lamborghini",2024-03-16T16:00:00Z,5365645,125305,241542295,1141,613,0.022,0.0005
I Survived 7 Days In An Abandoned City,2024-03-02T17:00:00Z,6604343,199010,318190373,1044,627,0.021,0.0006
Unboxing My 200M Subscriber Play Button,2024-02-29T17:00:00Z,14368113,51778,240426526,46,629,0.06,0.0002
I Filled Chandler’s Car With Feastables,2024-02-27T18:00:01Z,14288890,26589,405322048,38,631,0.035,0.0001
Most Expensive Hand Model Holds Feastables,2024-02-24T18:00:09Z,12112207,9208,591759437,22,634,0.02,0.0
"Buy Feastables, Win $10,000",2024-02-17T19:00:01Z,15999209,34527,434050343,41,641,0.037,0.0001
"Face Your Biggest Fear To Win $800,000",2024-02-10T17:00:00Z,6593693,225373,357495856,1323,648,0.018,0.0006
"$1 vs $250,000,000 Private Island!",2024-01-27T17:00:00Z,5831827,101071,359572394,1019,662,0.016,0.0003
"Protect $500,000 Keep It!",2024-01-13T17:00:00Z,4773787,70186,186383662,934,676,0.026,0.0004
I Spent 7 Days In Solitary Confinement,2023-12-30T17:00:03Z,5393605,81790,266647113,1216,690,0.02,0.0003
I Adopted 100 Dogs!,2023-12-23T17:00:00Z,6545226,107977,360501453,903,697,0.018,0.0003
"Survive 100 Days Trapped, Win $500,000",2023-12-16T17:00:01Z,6816783,95913,428159439,1628,704,0.016,0.0002
"Feeding A Dog $1 vs $10,000 Steak",2023-12-14T18:00:00Z,15366717,30210,545805476,27,706,0.028,0.0001
Could You Walk Up A Skyscraper?,2023-12-05T18:00:00Z,15206337,28941,448121152,50,715,0.034,0.0001
"$10,000 Every Day You Survive In A Grocery Store",2023-12-02T17:00:00Z,7311332,85291,473794235,1292,718,0.015,0.0002
"$1 vs $10,000,000 Job!",2023-11-25T17:00:00Z,4819624,61938,293399945,939,725,0.016,0.0002
I Spent 7 Days Buried Alive,2023-11-18T17:00:01Z,7910376,118518,283570545,1114,732,0.028,0.0004
I Gave Away A House On Halloween,2023-11-10T18:00:00Z,13531497,36039,338171292,48,740,0.04,0.0001
Giving Car Keys Instead Of Candy On Halloween,2023-11-09T18:00:00Z,10697548,14600,370469766,32,741,0.029,0.0
I Built 100 Wells In Africa,2023-11-04T16:00:00Z,10364591,212828,255557206,630,746,0.041,0.0008
"Furthest Away From Me Wins $10,000",2023-11-02T17:00:03Z,21490285,38620,653715521,48,748,0.033,0.0001
